Time (years), Observed Velocity (cm/s)
0.0,6.608005866274724
0.001000100010001,6.026303241828174
0.002000200020002,5.567924109528831
0.003000300030003,5.034716082540557
0.004000400040004,4.61253910847093
0.005000500050005001,5.885167464787149
0.006000600060006,5.492375775356302
0.0070007000700070005,5.30451492181667
0.008000800080008,5.663134733044205
0.009000900090009001,2.0427137279344
0.010001000100010001,4.096017827666912
0.011001100110011002,3.021159577485866
0.012001200120012,4.271530726611238
0.013001300130013,3.5136885858022295
0.014001400140014001,3.3199310400906343
0.015001500150015001,3.6705084938468775
0.016001600160016,2.238316007979013
0.017001700170017002,2.6582468764810283
0.018001800180018002,2.4588070928836157
0.019001900190019003,1.7096385191741834
0.020002000200020003,3.9013810157410598
0.021002100210021003,3.4920060748274917
0.022002200220022004,1.7705059591406676
0.023002300230023004,0.6966080369504404
0.024002400240024,1.9591083543500345
0.025002500250025,2.483642931682328
0.026002600260026,2.4766865250000283
0.027002700270027002,2.540310725202284
0.028002800280028002,0.19275392452630302
0.029002900290029002,1.0703887080024774
0.030003000300030003,1.2488761305138352
0.031003100310031003,-0.7412133035635973
0.032003200320032,1.5323034668091826
0.033003300330033,-0.9624724304095384
0.034003400340034004,-1.7127918818348888
0.035003500350035,-2.314669639902603
0.036003600360036005,-1.3532722712862042
0.037003700370037,-0.8411586819321712
0.038003800380038005,-2.176534329980739
0.039003900390039,-1.7978817065923935
0.040004000400040006,-1.5723183074814988
0.041004100410041,-3.015523307929886
0.04200420042004201,-1.6572115418283255
0.043004300430043,-2.8547888841358264
0.04400440044004401,-2.928563994557673
0.045004500450045004,-3.9733581437321557
0.04600460046004601,-2.886667400063193
0.047004700470047005,-2.5879892850516617
0.048004800480048,-3.7230870954689483
0.049004900490049005,-2.1733360066605805
0.05000500050005,-3.941102370808164
0.051005100510051006,-2.7380127907271317
0.052005200520052,-3.3737035397340884
0.05300530053005301,-3.074601656989995
0.054005400540054004,-4.930764836079648
0.05500550055005501,-4.316800227944104
0.056005600560056004,-4.05269038330127
